test_id,block_count,is_feasible,infeasible_penalty_applied,final_cost,p1_quality,p2_violation_exp,p3_runtime_adjustment,pre_penalty_cost,hpwl_b2b,hpwl_p2b,hpwl_total,hpwl_baseline,hpwl_gap,bbox_area,bbox_area_baseline,area_gap,overlap_violations,area_violations,fixed_violations,preplaced_violations,boundary_violations,grouping_violations,mib_violations,total_soft_violations,max_possible_violations,violations_relative,runtime_seconds,median_runtime,runtime_factor
42,63,True,False,0.9059053360624212,1.0000000167757948,1.0,0.9059053208651394,0.9059053360624212,22.410683435213286,2.9201608633156866,25.330844298528973,25.330843448638916,3.355158933893313e-08,17856.0,17856.0,0.0,0,0,0,0,0,0,0,0,43,0.0,1.078798532485962,1.4996767044067383,0.7193540643233017
43,64,True,False,0.9255211560886679,1.0,1.0,0.9255211560886679,0.9255211560886679,61.46065449464368,1.947731213120278,63.408385707763955,63.40838634967804,-1.0123488729294526e-08,20538.0,20538.0,0.0,0,0,0,0,0,0,0,0,48,0.0,1.1586496829986572,1.4996767044067383,0.7725996407052352
44,65,True,False,1.0,1.0,1.0,1.0,1.0,104.30183769628638,4.491097126330715,108.7929348226171,108.79293870925903,-3.572513051514129e-08,19344.0,19344.0,0.0,0,0,0,0,0,0,0,0,52,0.0,1.4996767044067383,1.4996767044067383,1.0
45,66,True,False,0.9972622810443229,1.0000000175747041,1.0,0.9972622635177337,0.9972622810443229,66.66283728773124,13.642734230030328,80.30557151776156,80.30556869506836,3.514940807187853e-08,20349.0,20349.0,0.0,0,0,0,0,0,0,0,0,55,0.0,1.486034631729126,1.4996767044067383,0.9909033242714742
46,67,True,False,1.0165431483397018,1.0,1.0,1.0165431483397018,1.0165431483397018,30.15824221840012,27.911832626356045,58.070074844756164,58.07007598876953,-1.970056605082685e-08,23056.0,23056.0,0.0,0,0,0,0,0,0,0,0,55,0.0,1.5839824676513672,1.4996767044067383,1.0562159584108362
47,68,True,False,0.9191770238759358,1.0,1.0,0.9191770238759358,0.9191770238759358,42.15565746239736,0.1797817368642427,42.3354391992616,42.33544045686722,-2.9705740729146572e-08,23373.0,23373.0,0.0,0,0,0,0,0,0,0,0,52,0.0,1.1323869228363037,1.4996767044067383,0.7550873595014388
48,69,True,False,1.0069426611948877,1.000000022144073,1.0,1.0069426388970764,1.0069426611948877,69.91843734899885,24.213957795902388,94.13239514490124,94.13239097595215,4.4288146160118224e-08,23858.0,23858.0,0.0,0,0,0,0,0,0,0,0,59,0.0,1.5346643924713135,1.4996767044067383,1.023330153733645
49,70,True,False,0.9851471452018927,1.0,1.0,0.9851471452018927,0.9851471452018927,69.22142428017105,2.7578977941011544,71.9793220742722,71.97932577133179,-5.13627981826882e-08,22218.0,22218.0,0.0,0,0,0,0,0,0,0,0,59,0.0,1.4267065525054932,1.4996767044067383,0.951342744948411
50,71,True,False,0.9434123065321484,1.0,1.0,0.9434123065321484,0.9434123065321484,29.450602941622492,2.252441153716063,31.703044095338555,31.703044652938843,-1.758822516337944e-08,19764.0,19764.0,0.0,0,0,0,0,0,0,0,0,57,0.0,1.2350070476531982,1.4996767044067383,0.8235155243954786
51,72,True,False,1.0718612062230999,1.0000000107372105,1.0,1.0718611947143006,1.0718612062230999,41.56433067910257,33.85152253342676,75.41585321252933,75.41585159301758,2.1474421032001543e-08,23688.0,23688.0,0.0,0,0,0,0,0,0,0,0,60,0.0,1.8899898529052734,1.4996767044067383,1.2602648606540436
